"unid","gender","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","financial_situation_now","financial_situation_5years","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age_squared","survey_year","survey_month"
26599,"1","0","0","0",3,2,1,NA,"1","1",1,10,"1",6,NA,0,NA,11,676,2017,3
59685,"0","1","0","1",2,NA,1,2,"0","1",2,7,"1",3,5,6,NA,4,484,2016,2
52109,"0","0","0","1",14,NA,1,2,"1","1",2,6,"1",8,4,5,2,6,529,2017,2
18126,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,2,NA,NA,784,2018,6
3719,"1","0","1","1",2,NA,0,1,"0","1",2,10,"1",7,5,7,2,8,961,2017,9
66766,"0","0","0","0",5,3,0,NA,"1","1",1,9,"0",4,5,8,4,11,484,2017,6
90835,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,400,2017,6
40820,"1","1","1","1",5,NA,0,1,"1","1",2,8,"1",4,NA,7,NA,7,576,2016,9
100619,"1","0","0","0",4,4,0,NA,"1","1",2,10,"0",4,NA,3,NA,7,324,2017,5
64599,"1","0","1","0",11,5,1,NA,"1","1",3,9,"1",5,NA,5,NA,4,484,2017,2
80239,"0","1","0","0",4,NA,1,1,"1","1",1,10,"1",5,NA,3,NA,5,441,2017,6
57300,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,7,NA,NA,576,2018,5
95042,"0","0","1","0",3,NA,0,1,"1","1",1,10,"0",6,NA,9,NA,9,361,2016,10
86046,"0","0","0","0",5,NA,1,5,"1","1",5,8,"1",3,5,2,NA,1,400,2016,7
85069,"0","0","1","1",6,NA,0,1,"0","1",4,10,"0",5,4,5,NA,8,400,2016,6
8298,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,4,NA,841,2017,5
68447,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,529,2017,11
65411,"1","0","1","1",3,NA,0,0,"1","0",2,5,"1",3,NA,9,NA,4,484,2016,10
11147,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,NA,1,NA,NA,900,2018,7
13837,"1","0","0","0",4,NA,0,1,"0","1",4,10,"1",6,NA,6,NA,2,729,2016,2
74015,"0","0","1","1",5,NA,2,2,"1","1",1,6,"0",7,4,0,1,5,441,2016,8
50892,"1","1","1","1",4,2,1,NA,"1","1",1,5,"1",4,5,5,2,5,576,2017,9
78262,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,5,5,3,3,NA,484,2018,5
13477,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,3,NA,729,2016,4
30563,"0","1","1","0",1,NA,1,1,"1","1",3,8,"0",7,4,1,3,6,625,2016,5
39555,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,1,NA,5,NA,NA,676,2018,10
4914,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,3,NA,NA,961,2018,6
19118,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,5,7,5,3,NA,676,2016,3
8726,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,7,NA,NA,900,2018,5
15501,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,784,2018,2
23986,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,625,2016,5
75707,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,7,NA,NA,529,2018,5
94735,"0","0","1","0",2,2,0,NA,"0","1",3,6,"0",3,NA,0,NA,2,400,2017,7
27033,"0","1","1","0",4,NA,1,0,"1","0",2,10,"1",7,6,9,4,7,676,2017,8
82329,"1","0","0","1",5,NA,0,1,"1","1",5,5,"1",6,NA,4,NA,2,400,2016,10
22067,"0","0","0","0",3,NA,2,2,"0","1",5,3,"1",5,NA,0,NA,-2,625,2016,2
6715,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,900,2017,10
6321,"1","1","0","0",4,NA,1,0,"1","0",2,6,"0",6,NA,9,NA,1,841,2016,7
68182,"0","0","1","0",4,NA,0,1,"1","1",4,10,"0",9,9,2,3,2,441,2016,3
23519,"1","0","1","1",4,3,1,NA,"1","1",8,10,"0",NA,NA,0,NA,2,729,2018,4
25517,"0","1","1","0",12,NA,0,2,"1","1",1,10,"1",6,5,8,NA,10,625,2016,5
32791,"0","0","0","0",1,NA,0,1,"1","1",2,6,"0",4,5,9,NA,4,625,2016,9
99379,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,6,NA,NA,400,2018,6
61165,"0","0","1","0",0,NA,1,NA,"0","0",3,7,NA,NA,NA,9,NA,4,576,2018,1
94200,"0","0","0","0",7,NA,0,2,"1","1",3,4,"0",4,NA,9,NA,0,361,2016,7
88021,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,8,NA,NA,400,2017,1
99097,"1","1","0","0",2,2,0,NA,"0","1",1,8,"0",5,NA,1,NA,5,361,2017,6
13147,"0","0","0","0",3,2,2,NA,"1","1",2,7,"0",6,NA,9,NA,0,841,2017,12
74299,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,4,NA,6,NA,NA,529,2018,8
42693,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,625,2017,7
5254,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,961,2018,5
27564,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,6,0,NA,NA,729,2018,7
68023,"1","0","1","0",5,NA,0,2,"1","1",3,5,"1",4,5,6,NA,-2,484,2016,11
24209,"1","0","0","0",3,2,1,NA,"1","1",2,5,"1",NA,NA,5,NA,5,729,2018,3
28800,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,3,NA,NA,729,2018,5
27400,"0","0","1","1",3,NA,1,1,"1","1",5,10,"1",5,NA,9,NA,7,676,2017,3
18298,"0","0","0","0",2,NA,1,1,"0","1",4,6,"0",6,NA,0,NA,2,729,2017,1
64214,"0","0","0","0",7,NA,0,4,"1","1",1,10,"0",5,NA,9,NA,10,441,2016,2
55592,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,4,NA,7,NA,NA,529,2016,12
4205,"0","1","1","1",0,NA,2,0,"1","0",1,7,"0",6,5,8,3,4,900,2016,4
26963,"0","0","1","0",0,NA,1,0,"0","0",4,8,"0",5,3,2,2,7,676,2016,12
40148,"0","0","0","1",3,NA,1,1,"1","1",4,6,"1",4,NA,3,NA,4,576,2016,5
